IPA	word
/ˈeə.ɹə.pleɪn/	aeroplane
/ˈɛs.θiːt/	aesthete
/ap.sɑ̃s/	absence
/ˈaktər/	actor
/ˈap.surt/	absurd
/ap.sɔ.ly.sjɔ̃/	absolution
/əˈbeɪst/	abased
/aˈkuː.men/	acumen
/ə.d͡ʒəˈsen/	adjacent
/ədˈvaɪz/	advise
/əˈbɔɹ.ʃn̩/	abortion
/ˈæb.səˌlu.tɪst/	absolutist
/əˈkɒm.plɪʃ/	accomplish
/əˈdik(t)/	addict
/ˈæk.ɹə.nɪm/	acronym
/ad.veɾ.biˈal/	adverbial
/əˌbɹiː.viˈeɪ.ʃən/	abbreviation
/əˈbɔɹ.tɪv/	abortive
/ˈæ.dɪ.tɪv/	additive
/ˈaɡ.ne/	acne
/ædˈdʒʊɹ/	adjure
/əˈkɹɒs/	across
/a.kʁy/	accrue
[ˈɒdmin]	admin
/əps.tiˈnent/	abstinent
[abalone]	abalone
/ə.ˈkɑm.plɪʃt/	accomplished
[ɐb.ɐˈtʲɛ]	abate
/aˈkasja/	acacia
/əˈdɑptɪd/	adopted
/ad.mʲi.ɲiˈstra.tɔr/	administrator
/esˈθe.tɪk/	aesthetic
/ˈæk.jə.ɹɪt/	accurate
/aˈbate/	abate
/əbˈhɔɹ.n̩s/	abhorrence
/ˈæb.ɹəˌɡət/	abrogate
/ˈæk.ə.diːm/	academe
/əˈdɒptɪd/	adopted
/ædˈmɑn.ɪʃ/	admonish
/ədˈmɪn/	admin
/ˌædæpˈteɪʃən/	adaptation
/ˈæ.də.mənt/	adamant
/ˈæk.tɪd/	acted
/əˈbʌv/	above
/aˈdobe/	adobe
/ˈæd.vɜːb/	adverb
/asətoːnə/	acetone
/ə.ˈkɔɹd.əns/	accordance
/ədˈmɒn.ɪʃ/	admonish
/advɛnt/	advent
/ˈad(j)us/	adduce
/əd.diˈti.vəs/	additives
/ɑkoːˈlaːdə/	accolade
/əˈbeɪs/	abase
/əˈkwaɪə/	acquire
/ɑˈkɑu̯nt/	account
/ədˈvænsɪŋ/	advancing
/ab(i)domɪˈnaʊ̯/	abdominal
/ˈæk.jʊ.ɹət/	accurate
/ək.ˈsɛp.təns/	acceptance
/əˈbɹi.vi.ət/	abbreviate
/ad.ver.biˈal/	adverbial
/ˈaβe/	abe
/ə.ˌkɒm.ə.ˈdeɪ.ʃən/	accommodation
/əˈfoədɪd/	afforded
/əˈdo(ː)ɹ/	adore
/ə.ˈkɔɹd/	accord
/əˈbɛɹ.n̩t/	aberrant
/əb.ˈstɹæk.tɪd/	abstracted
/ə.ˈkaʊn.tənt/	accountant
/ædˈvɜː.sə.ɹi/	adversary
/apˈsent/	absent
/ˈæb.sn̩s/	absence
/ə.ˈbɹiː.vi.eɪt/	abbreviate
/ˌæb.dəˈkeɪ.ʃən/	abdication
/æbˈsɔɹbd/	absorbed
/æbˈhɔɹd/	abhorred
/əˈbleɪz/	ablaze
/əˈkɹɔs/	across
/əˈfɝm/	affirm
/əˈkʌm.p(ə.)ni.ɪŋ/	accompanying
/ab.dɔ.mɛn/	abdomen
/æˈkjumən/	acumen
/əˈbɪs/	abyss
/əˈkwɪ.t(ə)l/	acquittal
/a.ba.lɔn/	abalone
/əˈbɹɪdʒd/	abridged
/ab.do.miˈnal/	abdominal
/əˈbeɪts/	abates
/ˈæd.və.sɛɹi/	adversary
/əˈbjuz/	abuse
/əkˈnɑl.ɪd͡ʒ.mənt/	acknowledgment
